,0,1,2,3
"(7, 11)",-3.9737380869677423,-37.6125,-4.028413008722935,-44.77664490449219
"(6, 11)",-38.82969147819873,-39.029480070546846,-4.032816065533106,-4.006790982087707
"(5, 11)",-38.40490086759573,-38.337597814725584,-39.06726394987486,-4.033481972818272
"(13, 21)",-37.9712765625,-3.193970125857687,-3.270119423398115,-1.0418676523322148
"(14, 21)",-44.3302890625,-44.180734375,-3.149382193314989,2.047192200266867
"(15, 21)",-45.03680471816044,7.142779890353086,-2.903439145370019,-25.0
"(12, 21)",-38.13249150585938,-38.637129475041824,-3.2220126914141205,-3.2790732669670897
"(11, 21)",-37.74215625,-25.0,-38.373585996321225,-3.2297318155351364
"(11, 19)",-38.50480744125018,-38.62831517515153,-48.27511650290057,-3.5191735289401604
"(15, 20)",-2.6215775586028793,14.283706335973749,-38.66822153837441,-37.173301136257535
"(15, 19)",-2.4630297716036296,-2.4358947514809737,-38.30094594441138,22.8895685182967
"(15, 18)",-2.4962531034971636,-2.4090999987944004,-25.0,-38.18052708672363
"(15, 17)",-2.4650415799447063,-25.0,-25.0,-2.3619653934017464
"(16, 17)",-25.0,-25.0,-2.439904249950044,-2.4629296434081254
"(17, 17)",-25.0,-25.0,-2.472683919964515,-25.0
"(16, 19)",-25.0,-37.5,-2.312899511008501,31.992190708101745
"(17, 19)",-44.89857719034052,-37.9083609375,-2.001292066286615,40.73256494714555
"(18, 19)",-37.74215625,-25.0,-1.8944370035788576,48.755912362953865
"(19, 19)",-25.0,-37.8673125,-1.490455524121094,56.24688615362585
"(20, 19)",-22.209298801269526,-37.9697578125,-1.380273478515625,63.67344796257915
"(21, 19)",71.498566955328,-13.615485351562494,-0.9136562500000001,-12.15690597534179
"(21, 20)",80.04297423362732,-0.6225,-37.5,-37.6125
"(21, 21)",-0.25,-0.3625,-0.25,89.49927055835724
"(20, 21)",-25.0,-25.0,-0.25,-0.25
"(19, 21)",0.0,-25.0,0.0,-0.25
"(21, 22)",0.0,-0.25,0.0,0.0
"(22, 21)",99.99995231628418,17.1875,39.78780517578125,-30.010986328125
"(22, 22)",0.0,0.0,0.0,0.0
"(21, 6)",-4.427496903457567,-4.433658836540385,-38.098278814453124,-25.0
"(21, 7)",-4.426075652385538,-4.44168165265749,-48.30610055795469,-37.7728125
"(21, 8)",-4.422638245071827,-4.446161433518493,-38.72954329154909,-39.47177575236647
"(21, 9)",-4.424346619758763,-4.441615987989026,-4.423421100464598,-50.23027380028738
"(21, 10)",-4.429137348430678,-4.429515471968582,-49.50902831124866,-51.715732173151835
"(20, 9)",-38.43151439640472,-49.029281298576066,-4.44743019443297,-4.434966457936772
"(19, 9)",-4.446081286361331,-4.447599218315209,-52.86411675238432,-4.4478988842410745
"(19, 8)",-4.459781843826226,-4.440517186454011,-39.209821469322776,-53.051104275215636
"(19, 7)",-4.4488854733000025,-37.719375,-46.16474164701138,-25.0
"(19, 10)",-4.4505256013929415,-4.45833554902649,-45.87479187939222,-52.073821158748615
"(19, 11)",-45.6316988130493,-4.458163487505836,-25.0,-39.06844089863329
"(21, 11)",-4.430062563125929,-4.4391314289158945,-37.832296875,-49.17415755903944
"(21, 12)",-4.435326869541024,-4.443001304567561,-45.33487647986793,-49.94846027434734
"(21, 13)",-37.769999999999996,-4.4408973850944715,-4.412189738902575,-39.23943823578054
"(20, 13)",-45.5675280566238,-46.51522241404278,-4.391830653215536,-4.414639553378747
"(19, 13)",-4.392359258305746,-49.493139930602496,-4.388259654178058,-4.38119187080638
"(18, 13)",-45.073617383162,-48.95677463211902,-4.397736911095464,-4.389803937738545
"(19, 14)",-4.396450520134806,-4.4066373165901185,-44.298248359375,-51.7109441742948
"(19, 15)",-4.407518661903218,-4.412413539536734,-49.68601357935117,-4.400690075668921
"(20, 15)",-45.7132502542043,-49.76843903891556,-4.409660492887613,-4.408650686831094
"(21, 15)",-45.68220206181269,-49.304046828905356,-4.411910658809344,-25.0
"(19, 16)",-4.408808340861107,-4.415690940093872,-39.2028618941482,-49.95267592733638
"(17, 13)",-25.0,-45.57119228897483,-25.0,-4.398889320352405
"(19, 17)",-50.038005073918576,-4.415391723480897,-37.663125,-4.413329049016355
"(20, 17)",-52.331818385771754,-25.0,-4.4176057714035295,-4.3857387611706375
"(21, 17)",-39.3470770493269,-45.601063682926466,-4.391712333377276,-39.3470770493269
